"","State","Year","Private","Proprietary","Public"
"163","NC",1011,28.116,4.4825,67.4014
"164","NC",1112,27.4806,4.4199,68.0995
"165","NC",1213,25.768,4.1568,70.0752
"166","NC",1314,27.1304,4.1696,68.7
"167","NC",1415,28.1794,4.0471,67.7735
"168","NC",1516,28.403,2.8677,68.7293
"169","ND",1011,14.4987,1.8724,83.6289
"170","ND",1112,14.1081,1.5653,84.3265
"171","ND",1213,13.7244,1.5181,84.7575
"172","ND",1314,13.754,1.5831,84.6629
"173","ND",1415,13.7043,1.5655,84.7302
"174","ND",1516,13.4394,1.0274,85.5332
"175","NE",1011,40.4227,3.4412,56.1361
"176","NE",1112,41.1802,3.1986,55.6213
"177","NE",1213,41.5337,3.5359,54.9304
"178","NE",1314,42.5823,2.3674,55.0503
"179","NE",1415,45.3315,1.6595,53.009
"180","NE",1516,38.5832,1.2951,60.1217
"181","NH",1011,41.6515,8.4207,49.9279
"182","NH",1112,47.1983,6.2642,46.5375
"183","NH",1213,52.9348,5.2575,41.8076
"184","NH",1314,61.0322,3.6113,35.3565
"185","NH",1415,55.3613,3.4648,41.174
"186","NH",1516,67.0104,1.3074,31.6821
"187","NJ",1011,20.8851,15.2772,63.8377
"188","NJ",1112,20.4191,13.8842,65.6967
"189","NJ",1213,20.5659,12.9933,66.4408
"190","NJ",1314,20.2657,12.1042,67.6301
"191","NJ",1415,20.4754,11.1172,68.4074
"192","NJ",1516,21.1472,7.455,71.3978
"193","NM",1011,2.0673,4.5543,93.3784
"194","NM",1112,2.3841,5.0535,92.5624
"195","NM",1213,2.7276,5.1982,92.0742
"196","NM",1314,3.4131,5.5289,91.0581
"197","NM",1415,3.598,6.0015,90.4005
"198","NM",1516,2.7244,5.2815,91.994
"199","NV",1011,10.592,16.0371,73.3708
"200","NV",1112,11.3988,10.5293,78.072
"201","NV",1213,14.2269,10.2155,75.5576
"202","NV",1314,17.859,7.8099,74.3311
"203","NV",1415,17.9374,7.2299,74.8327
"204","NV",1516,16.6061,4.5056,78.8883
"205","NY",1011,55.5038,11.0972,33.399
"206","NY",1112,56.0941,10.3074,33.5985
"207","NY",1213,55.5174,9.9853,34.4973
"208","NY",1314,55.6514,9.6739,34.6748
"209","NY",1415,55.6085,9.1718,35.2197
"210","NY",1516,55.2266,6.9849,37.7885
"211","OH",1011,26.1492,8.7095,65.1413
"212","OH",1112,27.806,6.869,65.325
"213","OH",1213,27.101,5.86,67.039
"214","OH",1314,26.8535,5.8474,67.2992
"215","OH",1415,28.3382,5.484,66.1777
"216","OH",1516,27.9775,4.3636,67.6589
"217","OK",1011,16.335,9.2715,74.3935
"218","OK",1112,16.4543,8.2187,75.327
"219","OK",1213,16.7551,7.5971,75.6478
"220","OK",1314,17.963,8.7027,73.3342
"221","OK",1415,17.7306,9.4673,72.8021
"222","OK",1516,16.3702,8.2056,75.4242
"223","OR",1011,21.1166,10.5,68.3834
"224","OR",1112,21.427,8.083,70.49
"225","OR",1213,23.3574,7.5904,69.0522
"226","OR",1314,27.8119,6.1194,66.0687
"227","OR",1415,29.1311,6.0895,64.7794
"228","OR",1516,30.0816,5.1905,64.7279
"229","PA",1011,48.097,14.5893,37.3137
"230","PA",1112,49.6495,12.526,37.8245
"231","PA",1213,49.8793,11.6889,38.4317
"232","PA",1314,51.3882,10.2683,38.3435
"233","PA",1415,52.261,9.0528,38.6862
"234","PA",1516,51.2066,6.3981,42.3953
