State,School.Type,Year,Sum.Type.loan,Sum.Type.grant,Sum.Type.campus,Total.Disbursement
KS,Proprietary,1112,38503086,17738386.71,298392,56539864.71
KS,Public,1112,664559414,214006611.3,19436031,898002056.3
KY,Private,1112,262639532,59274559.4,23842658,345756749.4
KY,Proprietary,1112,169436360,53848602.37,1959524,225244486.4
KY,Public,1112,946045456,350690638.4,25468734,1322204828
LA,Private,1112,266945910,30743712.64,13281757,310971379.6
LA,Proprietary,1112,105052344,55610225.8,1789687,162452256.8
LA,Public,1112,769193932,350317816.8,19030443,1138542192
MA,Private,1112,2129758637,157641176.9,127909174,2415308988
MA,Proprietary,1112,102503966,40503007.06,1713456,144720429.1
MA,Public,1112,667045628,291001567.7,30162586,988209781.7
MD,Private,1112,358941636,33963221.05,14827539,407732396.1
MD,Proprietary,1112,110270419,59586309.63,1837056,171693784.6
MD,Public,1112,1100873003,340353235.6,25693704,1466919943
ME,Private,1112,168732598,16689554.83,9730056,195152208.8
ME,Proprietary,1112,14995106,13990368.05,164752,29150226.05
ME,Public,1112,204417074,79091523,18090490,301599087
MI,Private,1112,978276319,199045064.2,30789638,1208111021
MI,Proprietary,1112,143471951,84804890.93,2321062,230597903.9
MI,Public,1112,2447379848,809752390.9,75343132,3332475371
MN,Private,1112,543238280,61212430.55,32113177,636563887.6
MN,Proprietary,1112,1643869165,161364471.3,6908868,1812142504
MN,Public,1112,1199219710,344159759.2,34104375,1577483844
MO,Private,1112,1205266705,154380909.4,38925516,1398573130
MO,Proprietary,1112,190427478,86702144.58,2577566,279707188.6
MO,Public,1112,961846101,384893915,24246029,1370986045
MS,Private,1112,142891500,28565136.87,3471336,174927972.9
MS,Proprietary,1112,5367250,6059596.88,35580,11462426.88
MS,Public,1112,622536923,381041704.2,24259028,1027837655
MT,Private,1112,24152177,6355336.16,1259897,31767410.16
MT,Proprietary,1112,2937547,1885114.92,0,4822661.92
MT,Public,1112,228617881,78691113.25,9519276,316828270.3
NC,Private,1112,746555463,121770231,32328272,900653966
NC,Proprietary,1112,126035706,17230669.65,1591519,144857894.7
NC,Public,1112,1383974958,807215277,40717169,2231907404
ND,Private,1112,29758066,8743909.74,1713937,40215912.74
ND,Proprietary,1112,3146879,1315157.24,0,4462036.24
ND,Public,1112,189190927,42723459.87,8462527,240376913.9
