"","School","State","School.Type","Total.Disbursements","Year"
"1819","PALMER COLLEGE OF CHIROPRACTIC","IA","PRIVATE",96800503,"2012_2013"
"1820","LA'JAMES INTERNATIONAL COLLEGE","IA","PROPRIETARY",787058,"2012_2013"
"1821","CAPRI COLLEGE","IA","PROPRIETARY",1256692,"2012_2013"
"1822","LA' JAMES INTERNATIONAL COLLEGE - DAVENPORT","IA","PROPRIETARY",390268,"2012_2013"
"1823","PCI ACADEMY","IA","PROPRIETARY",1431887,"2012_2013"
"1824","FAUST INSTITUTE OF COSMETOLOGY","IA","PROPRIETARY",321981,"2012_2013"
"1825","LA' JAMES INTERNATIONAL COLLEGE - DES MOINES","IA","PROPRIETARY",945576,"2012_2013"
"1826","AMERICAN HAIR ACADEMY","IA","PROPRIETARY",166996,"2012_2013"
"1827","IOWA SCHOOL OF BEAUTY","IA","PROPRIETARY",453466,"2012_2013"
"1828","EMMAUS BIBLE COLLEGE","IA","PRIVATE",735396,"2012_2013"
"1829","IOWA SCHOOL OF BEAUTY","IA","PROPRIETARY",359227,"2012_2013"
"1830","VATTEROTT COLLEGE","IA","PROPRIETARY",16631172,"2012_2013"
"1831","ALLEN COLLEGE","IA","PRIVATE",5633228,"2012_2013"
"1832","IOWA SCHOOL OF BEAUTY","IA","PROPRIETARY",311615,"2012_2013"
"1833","TOTAL LOOK SCHOOL OF COSMETOLOGY AND MASSAGE THERAPY","IA","PROPRIETARY",142649,"2012_2013"
"1834","CARLSON COLLEGE OF MASSAGE THERAPY","IA","PROPRIETARY",152651,"2012_2013"
"1835","BIO-CHI INSTITUTE OF MASSAGE THERAPY","IA","PROPRIETARY",81000,"2012_2013"
"1836","SALON PROFESSIONAL ACADEMY (THE)","IA","PROPRIETARY",341495,"2012_2013"
"1837","AVEDA INSTITUTE DES MOINES","IA","PROPRIETARY",1491109,"2012_2013"
"1838","BOISE STATE UNIVERSITY","ID","PUBLIC",89823514,"2012_2013"
"1839","COLLEGE OF IDAHO (THE)","ID","PRIVATE",5335542,"2012_2013"
"1840","COLLEGE OF SOUTHERN IDAHO","ID","PUBLIC",12263240,"2012_2013"
"1841","IDAHO STATE UNIVERSITY","ID","PUBLIC",72645019,"2012_2013"
"1842","LEWIS-CLARK STATE COLLEGE","ID","PUBLIC",17077890,"2012_2013"
"1843","NORTH IDAHO COLLEGE","ID","PUBLIC",21386013,"2012_2013"
"1844","NORTHWEST NAZARENE UNIVERSITY","ID","PRIVATE",17773689,"2012_2013"
"1845","BRIGHAM YOUNG UNIVERSITY - IDAHO","ID","PRIVATE",40776273,"2012_2013"
"1846","UNIVERSITY OF IDAHO","ID","PUBLIC",68519240,"2012_2013"
"1847","JOSEPH CHARLES INSTITUTE OF COSMETOLOGY","ID","PROPRIETARY",488823,"2012_2013"
"1848","EASTERN IDAHO TECHNICAL COLLEGE","ID","PUBLIC",2125885,"2012_2013"
"1849","CARRINGTON COLLEGE","ID","PROPRIETARY",10530324,"2012_2013"
"1850","BOISE BIBLE COLLEGE","ID","PRIVATE",939305,"2012_2013"
"1851","MR. LEON'S SCHOOL OF HAIR DESIGN","ID","PROPRIETARY",560831,"2012_2013"
"1852","SCHOOL OF HAIRSTYLING (THE)","ID","PROPRIETARY",349426,"2012_2013"
"1853","TONI&GUY HAIRDRESSING ACADEMY","ID","PROPRIETARY",1804726,"2012_2013"
"1854","HEADMASTERS SCHOOL OF HAIR DESIGN","ID","PROPRIETARY",336696,"2012_2013"
"1855","RAZZLE DAZZLE COLLEGE OF HAIR DESIGN","ID","PROPRIETARY",1037843,"2012_2013"
"1856","PAUL MITCHELL THE SCHOOL BOISE","ID","PROPRIETARY",1184093,"2012_2013"
"1857","COSMETOLOGY SCHOOL OF ARTS AND SCIENCES","ID","PROPRIETARY",373450,"2012_2013"
"1858","EVANS HAIRSTYLING COLLEGE","ID","PROPRIETARY",141327,"2012_2013"
"1859","PAUL MITCHELL THE SCHOOL REXBURG","ID","PROPRIETARY",833464,"2012_2013"
"1860","D & L ACADEMY OF HAIR DESIGN","ID","PROPRIETARY",225196,"2012_2013"
"1861","OLIVER FINLEY ACADEMY OF COSMETOLOGY","ID","PROPRIETARY",1605252,"2012_2013"
"1862","MASTER EDUCATORS BEAUTY SCHOOL","ID","PROPRIETARY",209252,"2012_2013"
"1863","COLLEGE OF MASSAGE THERAPY","ID","PROPRIETARY",125595,"2012_2013"
"1864","AVEDA INSTITUTE BOISE","ID","PROPRIETARY",319788,"2012_2013"
"1865","VELVET TOUCH ACADEMY OF COSMETOLOGY","ID","PROPRIETARY",532590,"2012_2013"
"1866","BOISE BARBER COLLEGE","ID","PROPRIETARY",336111,"2012_2013"
"1867","AUSTIN KADE ACADEMY","ID","PROPRIETARY",1001555,"2012_2013"
"1868","ACADEMY DI FIRENZE","ID","PROPRIETARY",42793,"2012_2013"
"1869","COLLEGE OF WESTERN IDAHO","ID","PUBLIC",31607293,"2012_2013"
"1870","AMERICAN ACADEMY OF ART","IL","PROPRIETARY",4865377,"2012_2013"
"1871","AUGUSTANA COLLEGE","IL","PRIVATE",17101015,"2012_2013"
"1872","AURORA UNIVERSITY","IL","PRIVATE",33535574,"2012_2013"
"1873","SOUTHWESTERN ILLINOIS COLLEGE","IL","PUBLIC",11339786,"2012_2013"
"1874","BLACK HAWK COLLEGE","IL","PUBLIC",3559590,"2012_2013"
"1875","BLACKBURN UNIVERSITY","IL","PRIVATE",3323988,"2012_2013"
"1876","PRAIRIE STATE COLLEGE","IL","PUBLIC",7984087,"2012_2013"
"1877","BRADLEY UNIVERSITY","IL","PRIVATE",37965497,"2012_2013"
"1878","SPOON RIVER COLLEGE","IL","PUBLIC",1658445,"2012_2013"
"1879","CITY COLLEGES OF CHICAGO HARRY S TRUMAN COLLEGE","IL","PUBLIC",4866744,"2012_2013"
"1880","RICHARD J DALEY COLLEGE-CITY COLLEGES OF CHICAGO","IL","PUBLIC",965496,"2012_2013"
"1881","CITY COLLEGES OF CHICAGO - MALCOLM X COLLEGE","IL","PUBLIC",3308896,"2012_2013"
"1882","HAROLD WASHINGTON COLLEGE","IL","PUBLIC",5224158,"2012_2013"
"1883","CITY COLLEGES OF CHICAGO - KENNEDY KING COLLEGE","IL","PUBLIC",8352282,"2012_2013"
"1884","WILBUR WRIGHT COLLEGE","IL","PUBLIC",1367841,"2012_2013"
"1885","MIDWESTERN UNIVERSITY","IL","PRIVATE",289134580,"2012_2013"
"1886","ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE","IL","PRIVATE",77636962,"2012_2013"
"1887","CHICAGO THEOLOGICAL SEMINARY","IL","PRIVATE",1211221,"2012_2013"
"1888","SPERTUS COLLEGE OF JUDAICA","IL","PRIVATE",1287552,"2012_2013"
"1889","UNIVERSITY OF SAINT FRANCIS","IL","PRIVATE",26132204,"2012_2013"
"1890","COLUMBIA COLLEGE","IL","PRIVATE",112431923,"2012_2013"
"1891","CONCORDIA UNIVERSITY","IL","PRIVATE",32651544,"2012_2013"
"1892","DANVILLE AREA COMMUNITY COLLEGE","IL","PUBLIC",1377288,"2012_2013"
"1893","DEPAUL UNIVERSITY","IL","PRIVATE",247061253,"2012_2013"
"1894","EASTERN ILLINOIS UNIVERSITY","IL","PUBLIC",64749982,"2012_2013"
"1895","ELGIN COMMUNITY COLLEGE","IL","PUBLIC",4283918,"2012_2013"
"1896","ELMHURST COLLEGE","IL","PRIVATE",20255749,"2012_2013"
"1897","EUREKA COLLEGE","IL","PRIVATE",5355560,"2012_2013"
"1898","HIGHLAND COMMUNITY COLLEGE","IL","PUBLIC",1960873,"2012_2013"
"1899","GARRETT - EVANGELICAL THEOLOGICAL SEMINARY","IL","PRIVATE",3518652,"2012_2013"
"1900","GREENVILLE COLLEGE","IL","PRIVATE",11029171,"2012_2013"
"1901","HEBREW THEOLOGICAL COLLEGE","IL","PRIVATE",227123,"2012_2013"
"1902","ILLINOIS COLLEGE","IL","PRIVATE",6352135,"2012_2013"
"1903","ILLINOIS COLLEGE OF OPTOMETRY","IL","PRIVATE",20421239,"2012_2013"
"1904","ILLINOIS INSTITUTE OF TECHNOLOGY","IL","PRIVATE",52368414,"2012_2013"
"1905","ILLINOIS STATE UNIVERSITY","IL","PUBLIC",115443917,"2012_2013"
"1906","NORTHEASTERN ILLINOIS UNIVERSITY","IL","PUBLIC",27073992,"2012_2013"
"1907","CHICAGO STATE UNIVERSITY","IL","PUBLIC",62380006,"2012_2013"
"1908","ILLINOIS WESLEYAN UNIVERSITY","IL","PRIVATE",12974025,"2012_2013"
"1909","JOHN MARSHALL LAW SCHOOL (THE)","IL","PRIVATE",55171721,"2012_2013"
"1910","JOLIET JUNIOR COLLEGE","IL","PUBLIC",8279006,"2012_2013"
"1911","JUDSON UNIVERSITY","IL","PRIVATE",8140558,"2012_2013"
"1912","KASKASKIA COLLEGE","IL","PUBLIC",2114560,"2012_2013"
"1913","KENDALL COLLEGE","IL","PROPRIETARY",14099883,"2012_2013"
"1914","KNOX COLLEGE","IL","PRIVATE",8129672,"2012_2013"
"1915","ILLINOIS VALLEY COMMUNITY COLLEGE","IL","PUBLIC",2011821,"2012_2013"
"1916","LAKE FOREST COLLEGE","IL","PRIVATE",9541781,"2012_2013"
"1917","LEWIS UNIVERSITY","IL","PRIVATE",50561527,"2012_2013"
"1918","LINCOLN CHRISTIAN UNIVERSITY","IL","PRIVATE",6050323,"2012_2013"
"1919","LINCOLN COLLEGE","IL","PRIVATE",7078802,"2012_2013"
"1920","LOYOLA UNIVERSITY CHICAGO","IL","PRIVATE",187432713,"2012_2013"
"1921","LUTHERAN SCHOOL OF THEOLOGY AT CHICAGO","IL","PRIVATE",1148094,"2012_2013"
"1922","MACCORMAC COLLEGE","IL","PRIVATE",1436598,"2012_2013"
"1923","MACMURRAY COLLEGE","IL","PRIVATE",4757709,"2012_2013"
"1924","MCCORMICK THEOLOGICAL SEMINARY","IL","PRIVATE",489678,"2012_2013"
"1925","MCKENDREE UNIVERSITY","IL","PRIVATE",16559963,"2012_2013"
"1926","MEADVILLE THEOLOGICAL SCHOOL OF LOMBARD COLLEGE","IL","PRIVATE",524005,"2012_2013"
"1927","MILLIKIN UNIVERSITY","IL","PRIVATE",17911828,"2012_2013"
"1928","MONMOUTH COLLEGE","IL","PRIVATE",10294152,"2012_2013"
"1929","MORTON COLLEGE","IL","PUBLIC",1428081,"2012_2013"
"1930","NATIONAL UNIVERSITY OF HEALTH SCIENCES (THE)","IL","PRIVATE",25982756,"2012_2013"
"1931","NATIONAL LOUIS UNIVERSITY","IL","PRIVATE",44124114,"2012_2013"
"1932","NORTH CENTRAL COLLEGE","IL","PRIVATE",21133374,"2012_2013"
"1933","NORTH PARK UNIVERSITY","IL","PRIVATE",19103229,"2012_2013"
"1934","NORTHERN BAPTIST THEOLOGICAL SEMINARY","IL","PRIVATE",885647,"2012_2013"
"1935","NORTHERN ILLINOIS UNIVERSITY","IL","PUBLIC",128379494,"2012_2013"
"1936","NORTHWESTERN UNIVERSITY","IL","PRIVATE",185509174,"2012_2013"
"1937","OLIVET NAZARENE UNIVERSITY","IL","PRIVATE",31235332,"2012_2013"
"1938","ILLINOIS EASTERN COMMUNITY COLLEGES - OLNEY CENTRAL COLLEGE","IL","PUBLIC",525531,"2012_2013"
"1939","QUINCY UNIVERSITY","IL","PRIVATE",9958692,"2012_2013"
"1940","ROBERT MORRIS UNIVERSITY ILLINOIS","IL","PRIVATE",33967581,"2012_2013"
"1941","ROCK VALLEY COLLEGE","IL","PUBLIC",2899566,"2012_2013"
"1942","ROCKFORD UNIVERSITY","IL","PRIVATE",9970160,"2012_2013"
"1943","ROOSEVELT UNIVERSITY","IL","PRIVATE",69330985,"2012_2013"
"1944","DOMINICAN UNIVERSITY","IL","PRIVATE",24436695,"2012_2013"
"1945","SAUK VALLEY COMMUNITY COLLEGE","IL","PUBLIC",1116057,"2012_2013"
"1946","SCHOOL OF THE ART INSTITUTE OF CHICAGO","IL","PRIVATE",28551220,"2012_2013"
"1947","SHIMER COLLEGE","IL","PRIVATE",965844,"2012_2013"
"1948","SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE","IL","PUBLIC",121662256,"2012_2013"
"1949","SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE","IL","PUBLIC",94602709,"2012_2013"
"1950","UNIVERSITY OF SAINT MARY OF THE LAKE","IL","PRIVATE",61700,"2012_2013"
"1951","BENEDICTINE UNIVERSITY","IL","PRIVATE",50429496,"2012_2013"
"1952","SAINT XAVIER UNIVERSITY","IL","PRIVATE",36707075,"2012_2013"
"1953","TRINITY CHRISTIAN COLLEGE","IL","PRIVATE",10957044,"2012_2013"
"1954","TRINITY INTERNATIONAL UNIVERSITY","IL","PRIVATE",23499398,"2012_2013"
"1955","TRITON COLLEGE","IL","PUBLIC",3256100,"2012_2013"
"1956","UNIVERSITY OF CHICAGO (THE)","IL","PRIVATE",99029779,"2012_2013"
"1957","UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN","IL","PUBLIC",228069642,"2012_2013"
"1958","UNIVERSITY OF ILLINOIS AT CHICAGO","IL","PUBLIC",232876855,"2012_2013"
"1959","VANDERCOOK COLLEGE OF MUSIC","IL","PRIVATE",1490942,"2012_2013"
"1960","ILLINOIS EASTERN COMMUNITY COLLEGES - WABASH VALLEY COLLEGE","IL","PUBLIC",226950,"2012_2013"
"1961","WESTERN ILLINOIS UNIVERSITY","IL","PUBLIC",80335859,"2012_2013"
"1962","WHEATON COLLEGE","IL","PRIVATE",14713813,"2012_2013"
"1963","WORSHAM COLLEGE OF MORTUARY SCIENCE","IL","PROPRIETARY",846416,"2012_2013"
"1964","HARPER COLLEGE","IL","PUBLIC",9778859,"2012_2013"
"1965","GEM CITY COLLEGE","IL","PROPRIETARY",184561,"2012_2013"
"1966","MIDSTATE COLLEGE","IL","PROPRIETARY",5262660,"2012_2013"
"1967","BLESSING HOSPITAL","IL","PRIVATE",1149745,"2012_2013"
"1968","TRINITY COLLEGE OF NURSING AND HEALTH SCIENCES","IL","PRIVATE",1404956,"2012_2013"
"1969","METHODIST COLLEGE","IL","PRIVATE",5240550,"2012_2013"
"1970","SAINT FRANCIS MEDICAL CENTER COLLEGE OF NURSING","IL","PRIVATE",3403513,"2012_2013"
"1971","CHAMBERLAIN COLLEGE OF NURSING","IL","PROPRIETARY",161784817,"2012_2013"
"1972","COLLEGE OF DU PAGE","IL","PUBLIC",33161365,"2012_2013"
"1973","ILLINOIS CENTRAL COLLEGE","IL","PUBLIC",5423855,"2012_2013"
"1974","WAUBONSEE COMMUNITY COLLEGE","IL","PUBLIC",6566185,"2012_2013"
"1975","PARKLAND COLLEGE","IL","PUBLIC",11768941,"2012_2013"
"1976","REND LAKE COLLEGE","IL","PUBLIC",2972795,"2012_2013"
"1977","LINCOLN LAND COMMUNITY COLLEGE","IL","PUBLIC",6171520,"2012_2013"
"1978","CARL SANDBURG COLLEGE","IL","PUBLIC",977157,"2012_2013"
"1979","COYNE COLLEGE","IL","PROPRIETARY",7271868,"2012_2013"
"1980","LAKE LAND COLLEGE","IL","PUBLIC",2396381,"2012_2013"
"1981","KISHWAUKEE COLLEGE","IL","PUBLIC",5768529,"2012_2013"
"1982","KANKAKEE COMMUNITY COLLEGE","IL","PUBLIC",4830310,"2012_2013"
"1983","MCHENRY COUNTY COLLEGE","IL","PUBLIC",2847406,"2012_2013"
"1984","MORAINE VALLEY COMMUNITY COLLEGE","IL","PUBLIC",6537443,"2012_2013"
"1985","COLLEGE OF LAKE COUNTY","IL","PUBLIC",4564088,"2012_2013"
"1986","MS ROBERTS ACADEMY OF BEAUTY CULTURE","IL","PROPRIETARY",338149,"2012_2013"
"1987","EDUCATORS OF BEAUTY","IL","PROPRIETARY",740677,"2012_2013"
"1988","ALVAREITA'S COLLEGE OF COSMETOLOGY","IL","PROPRIETARY",424979,"2012_2013"
"1989","ROCKFORD CAREER COLLEGE","IL","PROPRIETARY",4627350,"2012_2013"
"1990","MORRISON INSTITUTE OF TECHNOLOGY","IL","PRIVATE",562268,"2012_2013"
"1991","GRAHAM HOSPITAL SCHOOL OF NURSING","IL","PRIVATE",419835,"2012_2013"
"1992","CANNELLA SCHOOL OF HAIR DESIGN","IL","PROPRIETARY",105424,"2012_2013"
"1993","GOVERNORS STATE UNIVERSITY","IL","PUBLIC",42443851,"2012_2013"
"1994","CATHOLIC THEOLOGICAL UNION AT CHICAGO","IL","PRIVATE",529957,"2012_2013"
"1995","UNIVERSITY OF ILLINOIS AT SPRINGFIELD","IL","PUBLIC",24508696,"2012_2013"
"1996","EDUCATORS OF BEAUTY","IL","PROPRIETARY",228438,"2012_2013"
"1997","CANNELLA SCHOOL OF HAIR DESIGN","IL","PROPRIETARY",128483,"2012_2013"
"1998","OLIVE-HARVEY COLLEGE","IL","PUBLIC",6196385,"2012_2013"
"1999","ILLINOIS EASTERN COMMUNITY COLLEGES - LINCOLN TRAIL COLLEGE","IL","PUBLIC",412207,"2012_2013"
"2000","RUSH UNIVERSITY","IL","PRIVATE",52019038,"2012_2013"
"2001","OAKTON COMMUNITY COLLEGE","IL","PUBLIC",696354,"2012_2013"
"2002","SAINT ANTHONY COLLEGE OF NURSING","IL","PRIVATE",2388980,"2012_2013"
"2003","LEWIS AND CLARK COMMUNITY COLLEGE","IL","PUBLIC",2859290,"2012_2013"
"2004","LAKEVIEW COLLEGE OF NURSING","IL","PRIVATE",2981350,"2012_2013"
"2005","TRI COUNTY BEAUTY ACADEMY","IL","PROPRIETARY",49999,"2012_2013"
"2006","CAPITAL AREA CAREER CENTER","IL","PUBLIC",983653,"2012_2013"
"2007","DEVRY UNIVERSITY","IL","PROPRIETARY",608198310,"2012_2013"
"2008","PIVOT POINT ACADEMY","IL","PROPRIETARY",3507504,"2012_2013"
"2009","RICHLAND COMMUNITY COLLEGE","IL","PUBLIC",2264098,"2012_2013"
"2010","TAYLOR BUSINESS INSTITUTE","IL","PROPRIETARY",1279675,"2012_2013"
"2011","EVEREST COLLEGE","IL","PROPRIETARY",10008671,"2012_2013"
"2012","NORTHWESTERN COLLEGE","IL","PROPRIETARY",13546662,"2012_2013"
"2013","ILLINOIS INSTITUTE OF ART (THE)","IL","PROPRIETARY",69420205,"2012_2013"
"2014","JOHN WOOD COMMUNITY COLLEGE","IL","PUBLIC",3616785,"2012_2013"
"2015","CAPRI BEAUTY COLLEGE","IL","PROPRIETARY",402153,"2012_2013"
"2016","CAPRI OAK FOREST BEAUTY COLLEGE","IL","PROPRIETARY",1261111,"2012_2013"
"2017","HARRINGTON COLLEGE OF DESIGN","IL","PROPRIETARY",6977226,"2012_2013"
"2018","ADLER SCHOOL OF PROFESSIONAL PSYCHOLOGY","IL","PRIVATE",35150886,"2012_2013"
"2019","VATTEROTT COLLEGE","IL","PROPRIETARY",7903835,"2012_2013"
"2020","ILLINOIS EASTERN COMMUNITY COLLEGES -FRONTIER COMMUNITY COLLEGE","IL","PUBLIC",290231,"2012_2013"
"2021","KELLER GRADUATE SCHOOL OF MANAGEMENT","IL","PROPRIETARY",251207866,"2012_2013"
"2022","AMERICAN INTERCONTINENTAL UNIVERSITY","IL","PROPRIETARY",198070212,"2012_2013"
"2023","BECK SCHOOL OF PRACTICAL NURSING","IL","PUBLIC",850493,"2012_2013"
"2024","UNIVERSITY OF SPA & COSMETOLOGY ARTS","IL","PROPRIETARY",1048044,"2012_2013"
"2025","COSMETOLOGY AND SPA ACADEMY","IL","PROPRIETARY",1284203,"2012_2013"
"2026","INTERNATIONAL ACADEMY OF DESIGN AND TECHNOLOGY","IL","PROPRIETARY",21914698,"2012_2013"
"2027","EAST WEST UNIVERSITY","IL","PRIVATE",3472683,"2012_2013"
"2028","MR. JOHN'S SCHOOL OF COSMETOLOGY, ESTHETICS & NAILS","IL","PROPRIETARY",512166,"2012_2013"
"2029","RESURRECTION UNIVERSITY","IL","PRIVATE",4930737,"2012_2013"
"2030","MAC DANIELS BEAUTY SCHOOL","IL","PROPRIETARY",209050,"2012_2013"
"2031","HAIR PROFESSIONALS ACADEMY OF COSMETOLOGY","IL","PROPRIETARY",1053471,"2012_2013"
"2032","HAIR PROFESSIONALS SCHOOL OF COSMETOLOGY","IL","PROPRIETARY",526517,"2012_2013"
"2033","CANNELLA SCHOOL OF HAIR DESIGN","IL","PROPRIETARY",60930,"2012_2013"
"2034","OEHRLEIN SCHOOL OF COSMETOLOGY","IL","PROPRIETARY",442511,"2012_2013"
"2035","LA' JAMES INTERNATIONAL COLLEGE","IL","PROPRIETARY",225889,"2012_2013"
"2036","WESTWOOD COLLEGE - O'HARE AIRPORT","IL","PROPRIETARY",12600922,"2012_2013"
"2037","CONCEPT COLLEGE OF COSMETOLOGY","IL","PROPRIETARY",433861,"2012_2013"
"2038","LAKE FOREST GRADUATE SCHOOL OF MANAGEMENT","IL","PRIVATE",3456841,"2012_2013"
"2039","PROFESSIONALS CHOICE HAIR DESIGN ACADEMY","IL","PROPRIETARY",155901,"2012_2013"
"2040","HAIR PROFESSIONALS CAREER COLLEGE","IL","PROPRIETARY",338376,"2012_2013"
"2041","ALVAREITA'S COLLEGE OF COSMETOLOGY","IL","PROPRIETARY",357431,"2012_2013"
"2042","LE CORDON BLEU COLLEGE OF CULINARY ARTS IN CHICAGO","IL","PROPRIETARY",9240496,"2012_2013"
"2043","G SKIN & BEAUTY INSTITUTE","IL","PROPRIETARY",1603939,"2012_2013"
"2044","FOX COLLEGE","IL","PROPRIETARY",3789883,"2012_2013"
"2045","LEXINGTON COLLEGE","IL","PRIVATE",311397,"2012_2013"
"2046","ETI SCHOOL OF SKILLED TRADES","IL","PROPRIETARY",2445011,"2012_2013"
"2047","NILES SCHOOL OF COSMETOLOGY","IL","PROPRIETARY",31402,"2012_2013"
"2048","INSTITUTE FOR CLINICAL SOCIAL WORK","IL","PRIVATE",963379,"2012_2013"
"2049","FIRST INSTITUTE","IL","PROPRIETARY",1373405,"2012_2013"
"2050","HAIR PROFESSIONALS CAREER COLLEGE","IL","PROPRIETARY",499178,"2012_2013"
"2051","EMPIRE BEAUTY SCHOOL","IL","PROPRIETARY",613831,"2012_2013"
"2052","KNOWLEDGE SYSTEMS INSTITUTE","IL","PRIVATE",1550,"2012_2013"
"2053","HAIRMASTERS INSTITUTE OF COSMETOLOGY","IL","PROPRIETARY",489206,"2012_2013"
"2054","PAUL MITCHELL THE SCHOOL BRADLEY","IL","PROPRIETARY",2817238,"2012_2013"
"2055","CAMEO BEAUTY ACADEMY","IL","PROPRIETARY",641099,"2012_2013"
"2056","WESTWOOD COLLEGE - DUPAGE","IL","PROPRIETARY",11662518,"2012_2013"
"2057","HEARTLAND COMMUNITY COLLEGE","IL","PUBLIC",3477549,"2012_2013"
"2058","ST. JOHN'S COLLEGE","IL","PRIVATE",1258096,"2012_2013"
"2059","CAINS BARBER COLLEGE","IL","PROPRIETARY",250943,"2012_2013"
"2060","ILLINOIS SCHOOL OF HEALTH CAREERS","IL","PROPRIETARY",6277316,"2012_2013"
"2061","ILLINOIS CENTER FOR BROADCASTING","IL","PROPRIETARY",2364416,"2012_2013"
"2062","NATIONAL LATINO EDUCATION INSTITUTE","IL","PRIVATE",136211,"2012_2013"
"2063","CHRISTIAN LIFE COLLEGE","IL","PRIVATE",168750,"2012_2013"
"2064","MIDWEST TECHNICAL INSTITUTE","IL","PROPRIETARY",21981859,"2012_2013"
"2065","COMPUTER SYSTEMS INSTITUTE","IL","PROPRIETARY",12793722,"2012_2013"
"2066","BUSINESS INDUSTRIAL RESOURCES","IL","PROPRIETARY",10023534,"2012_2013"
"2067","CORTIVA INSTITUTE - CHICAGO","IL","PROPRIETARY",2874660,"2012_2013"
"2068","ERIKSON INSTITUTE","IL","PRIVATE",2577496,"2012_2013"
"2069","MR. JOHN'S SCHOOL OF COSMETOLOGY AND NAILS","IL","PROPRIETARY",279954,"2012_2013"
"2070","ILLINOIS CAREERPATH INSTITUTE","IL","PRIVATE",232888,"2012_2013"
"2071","NORTHSHORE UNIVERSITY HEALTHSYSTEM SCHOOL OF NURSE ANESTHESIA","IL","PRIVATE",112127,"2012_2013"
"2072","BEXLEY SEABURY SEMINARY FEDERATION","IL","PRIVATE",105000,"2012_2013"
"2073","EUROPEAN MASSAGE THERAPY SCHOOL","IL","PROPRIETARY",653488,"2012_2013"
"2074","SOMA INSTITUTE - THE NATIONAL SCHOOL OF CLINICAL MASSAGE THERAPY","IL","PROPRIETARY",1215238,"2012_2013"
"2075","CALC, INSTITUTE OF TECHNOLOGY","IL","PROPRIETARY",1261597,"2012_2013"
"2076","SOLEX MEDICAL ACADEMY","IL","PROPRIETARY",107071,"2012_2013"
"2077","LARRY'S BARBER COLLEGE","IL","PROPRIETARY",170016,"2012_2013"
"2078","CHICAGO ORT TECHNICAL INSTITUTE","IL","PRIVATE",78904,"2012_2013"
"2079","AMBRIA COLLEGE OF NURSING","IL","PROPRIETARY",1515363,"2012_2013"
"2080","UNIVERSITY OF AESTHETICS (THE)","IL","PROPRIETARY",195435,"2012_2013"
"2081","UNIVERSITY OF AESTHETICS & COSMETOLOGY (THE)","IL","PROPRIETARY",113292,"2012_2013"
"2082","TRICOCI UNIVERSITY OF BEAUTY CULTURE","IL","PROPRIETARY",1517408,"2012_2013"
"2083","MIDWESTERN CAREER COLLEGE","IL","PROPRIETARY",2206904,"2012_2013"
"2084","DOUGLAS J AVEDA INSTITUTE CHICAGO","IL","PROPRIETARY",1981802,"2012_2013"
"2085","TRICOCI UNIVERSITY OF BEAUTY CULTURE","IL","PROPRIETARY",1054651,"2012_2013"
"2086","TRICOCI UNIVERSITY OF BEAUTY CULTURE","IL","PROPRIETARY",1248474,"2012_2013"
"2087","TRICOCI UNIVERSITY OF BEAUTY CULTURE","IL","PROPRIETARY",1688371,"2012_2013"
"2088","TRICOCI UNIVERSITY OF BEAUTY CULTURE","IL","PROPRIETARY",899909,"2012_2013"
"2089","TRICOCI UNIVERSITY OF BEAUTY CULTURE","IL","PROPRIETARY",874624,"2012_2013"
"2090","PAUL MITCHELL THE SCHOOL NORMAL","IL","PROPRIETARY",1018038,"2012_2013"
"2091","INNOVATIONS DESIGN ACADEMY","IL","PROPRIETARY",219211,"2012_2013"
"2092","SOLEX COLLEGE","IL","PROPRIETARY",71740,"2012_2013"
"2093","UNITY COSMETOLOGY COLLEGE","IL","PROPRIETARY",323474,"2012_2013"
"2094","SALON PROFESSIONAL ACADEMY OF ELGIN (THE)","IL","PROPRIETARY",199546,"2012_2013"
"2095","NORTHWESTERN INSTITUTE OF HEALTH AND TECHNOLOGY","IL","PRIVATE",364734,"2012_2013"
"2096","ESTELLE INTERNATIONAL","IL","PROPRIETARY",419939,"2012_2013"
"2097","UNIVERSAL SPA TRAINING ACADEMY","IL","PROPRIETARY",515514,"2012_2013"
"2098","J RENEE CAREER FACILITATION","IL","PROPRIETARY",488046,"2012_2013"
"2099","PCCTI  HEALTHCARE","IL","PROPRIETARY",800675,"2012_2013"
"2100","CHICAGO SCHOOL FOR PIANO TECHNOLOGY (THE)","IL","PRIVATE",59252,"2012_2013"
"2101","JOHN AMICO SCHOOL OF HAIR DESIGN","IL","PROPRIETARY",619000,"2012_2013"
"2102","SALON PROFESSIONAL ACADEMY (THE)","IL","PROPRIETARY",779266,"2012_2013"
"2103","SHEAR LEARNING ACADEMY OF COSMETOLOGY","IL","PROPRIETARY",113933,"2012_2013"
"2104","STATE CAREER SCHOOL","IL","PROPRIETARY",375697,"2012_2013"
"2105","TRIBECA FLASHPOINT MEDIA ARTS ACADEMY","IL","PROPRIETARY",661922,"2012_2013"
"2106","NETWORKS BARBER COLLEGE","IL","PROPRIETARY",5500,"2012_2013"
"2107","TRENZ BEAUTY ACADEMY","IL","PROPRIETARY",21250,"2012_2013"
