"","State","School.Type","Year","Sum.Type.campus"
"727","WI","Private","1112",22051589
"728","WI","Private","1213",22598987
"729","WI","Private","1314",23944413
"730","WI","Proprietary","1011",663949
"731","WI","Proprietary","1112",1820901
"732","WI","Proprietary","1213",2092865
"733","WI","Proprietary","1314",2092953
"734","WI","Public","1011",51009707
"735","WI","Public","1112",52029465
"736","WI","Public","1213",59902919
"737","WI","Public","1314",60381286
"738","WV","Private","1011",4962167
"739","WV","Private","1112",4313319
"740","WV","Private","1213",4390821
"741","WV","Private","1314",4486580
"742","WV","Proprietary","1011",1535488
"743","WV","Proprietary","1112",1625375
"744","WV","Proprietary","1213",1643378
"745","WV","Proprietary","1314",1552736
"746","WV","Public","1011",14948202
"747","WV","Public","1112",11525001
"748","WV","Public","1213",12307849
"749","WV","Public","1314",15027396
"750","WY","Proprietary","1011",2576281
"751","WY","Proprietary","1112",2290814
"752","WY","Proprietary","1213",3454563
"753","WY","Proprietary","1314",1975392
"754","WY","Public","1011",2791194
"755","WY","Public","1112",3056342
"756","WY","Public","1213",2913528
"757","WY","Public","1314",3621758
