"","State","School.Type","Year","Sum.Type.loan","Sum.Type.grant","Total.Disbursement"
"225","IA","Proprietary","1516",308332799,106286018.11,414618817.11
"226","IA","Proprietary","1011",810702264,572758670.61,1383460934.61
"227","IA","Proprietary","1112",609628302,178053826.72,787682128.72
"228","IA","Proprietary","1213",669638834,163741112.47,833379946.47
"229","IA","Public","1314",639228920,185738726.64,824967646.64
"230","IA","Public","1415",610750679,179394937.97,790145616.97
"231","IA","Public","1516",544250858,156355924.43,700606782.43
"232","IA","Public","1011",737605208,237938229.61,975543437.61
"233","IA","Public","1112",727739211,215079883.96,942819094.96
"234","IA","Public","1213",672134116,199367966.66,871502082.66
"235","ID","Private","1011",61911467,57671341.81,119582808.81
"236","ID","Private","1112",67781786,51285539.11,119067325.11
"237","ID","Private","1213",64824809,56036175.77,120860984.77
"238","ID","Private","1314",67261663,57460154.14,124721817.14
"239","ID","Private","1415",71643264,63676047.45,135319311.45
"240","ID","Private","1516",55217376,51573344.61,106790720.61
"241","ID","Proprietary","1314",20789962,10180305.3,30970267.3
"242","ID","Proprietary","1415",19908465,9718495.86,29626960.86
"243","ID","Proprietary","1516",10123319,7254433.42,17377752.42
"244","ID","Proprietary","1011",24865052,13874947.98,38739999.98
"245","ID","Proprietary","1112",19998130,8754544.9,28752674.9
"246","ID","Proprietary","1213",22039135,10275781.28,32314916.28
"247","ID","Public","1314",277456051,115199692.84,392655743.84
"248","ID","Public","1415",257096961,104720133.32,361817094.32
"249","ID","Public","1516",224363757,90687224.38,315050981.38
"250","ID","Public","1011",316633868,133886182.52,450520050.52
"251","ID","Public","1112",333298993,131814011.88,465113004.88
"252","ID","Public","1213",315448094,128001863.82,443449957.82
"253","IL","Private","1011",2357355801,230856928.03,2588212729.03
"254","IL","Private","1112",2372931381,207351729.34,2580283110.34
"255","IL","Private","1213",2262729678,201086388.1,2463816066.1
"256","IL","Private","1314",2266541448,210755259.62,2477296707.62
"257","IL","Private","1415",2235250328,206547503.75,2441797831.75
"258","IL","Private","1516",1693668233,190827270.49,1884495503.49
"259","IL","Proprietary","1314",1358807941,318709583.47,1677517524.47
"260","IL","Proprietary","1415",1199725263,293685932.79,1493411195.79
"261","IL","Proprietary","1516",660695064,216053507,876748571
"262","IL","Proprietary","1011",2211524332,549072976.49,2760597308.49
"263","IL","Proprietary","1112",1957974929,411959092.62,2369934021.62
"264","IL","Proprietary","1213",1529299277,351825409.51,1881124686.51
"265","IL","Public","1314",1387255666,660201838.21,2047457504.21
"266","IL","Public","1415",1335631441,634490075.53,1970121516.53
"267","IL","Public","1516",1206328464,552983475.6,1759311939.6
"268","IL","Public","1011",1378188639,729744610.76,2107933249.76
"269","IL","Public","1112",1466196192,706815730.36,2173011922.36
"270","IL","Public","1213",1426046214,673057135.31,2099103349.31
"271","IN","Private","1011",605824695,108199190.83,714023885.83
"272","IN","Private","1112",623065930,100401851.56,723467781.56
"273","IN","Private","1213",610537413,97092340.99,707629753.99
"274","IN","Private","1314",621928945,97223529.55,719152474.55
"275","IN","Private","1415",640260486,100963876.74,741224362.74
"276","IN","Private","1516",538875665,90470314.43,629345979.43
"277","IN","Proprietary","1314",744425673,310073234.51,1054498907.51
"278","IN","Proprietary","1415",648621407,285692689.77,934314096.77
"279","IN","Proprietary","1516",278897278,194127567.43,473024845.43
"280","IN","Proprietary","1011",883209940,492120969.89,1375330909.89
"281","IN","Proprietary","1112",863685277,341985181.21,1205670458.21
"282","IN","Proprietary","1213",741230019,313481793.17,1054711812.17
"283","IN","Public","1314",1204242181,430206234.92,1634448415.92
"284","IN","Public","1415",1137098961,400260561.68,1537359522.68
"285","IN","Public","1516",999519216,340246788,1339766004
"286","IN","Public","1011",1581027882,523908035.43,2104935917.43
"287","IN","Public","1112",1510395251,492633866.99,2003029117.99
"288","IN","Public","1213",1386675644,457827924.18,1844503568.18
"289","KS","Private","1011",227188203,46893580.17,274081783.17
"290","KS","Private","1112",235856168,47393449.58,283249617.58
"291","KS","Private","1213",220808502,46442916.28,267251418.28
"292","KS","Private","1314",210464868,45478064.4,255942932.4
"293","KS","Private","1415",207147568,42353172.53,249500740.53
"294","KS","Private","1516",154994130,37327617.9,192321747.9
"295","KS","Proprietary","1314",111187070,44447282.38,155634352.38
"296","KS","Proprietary","1415",96692021,42802622.24,139494643.24
"297","KS","Proprietary","1516",46689107,31086047.74,77775154.74
"298","KS","Proprietary","1011",40789948,22422741.64,63212689.64
"299","KS","Proprietary","1112",38503086,17738386.71,56241472.71
"300","KS","Proprietary","1213",76337472,32661635.94,108999107.94
"301","KS","Public","1314",631213043,202788965.25,834002008.25
"302","KS","Public","1415",629729988,198097125.87,827827113.87
"303","KS","Public","1516",558918578,174371523.45,733290101.45
"304","KS","Public","1011",644203146,216029691.56,860232837.56
"305","KS","Public","1112",664559414,214006611.25,878566025.25
"306","KS","Public","1213",623518112,209703718.28,833221830.28
"307","KY","Private","1011",242379382,62486545.7,304865927.7
"308","KY","Private","1112",262639532,59274559.4,321914091.4
"309","KY","Private","1213",258126999,58591685.82,316718684.82
"310","KY","Private","1314",252336591,52684318.13,305020909.13
"311","KY","Private","1415",257757602,53501069.34,311258671.34
"312","KY","Private","1516",209564781,49779303.45,259344084.45
"313","KY","Proprietary","1314",140467591,45655668.75,186123259.75
"314","KY","Proprietary","1415",125735859,40203495.19,165939354.19
"315","KY","Proprietary","1516",56361900,26062949.89,82424849.89
"316","KY","Proprietary","1011",186450185,78745553.37,265195738.37
"317","KY","Proprietary","1112",169436360,53848602.37,223284962.37
"318","KY","Proprietary","1213",156604029,47967759.66,204571788.66
"319","KY","Public","1314",902776904,326505849.96,1229282753.96
"320","KY","Public","1415",861509210,317327142.07,1178836352.07
"321","KY","Public","1516",777457597,276756382.37,1054213979.37
"322","KY","Public","1011",890493134,370714278.67,1261207412.67
"323","KY","Public","1112",946045456,350690638.41,1296736094.41
"324","KY","Public","1213",931577382,336564073.65,1268141455.65
"325","LA","Private","1011",260494149,32755715.16,293249864.16
"326","LA","Private","1112",266945910,30743712.64,297689622.64
"327","LA","Private","1213",266028101,28987519.24,295015620.24
"328","LA","Private","1314",265619894,27664660.08,293284554.08
"329","LA","Private","1415",248954864,27004256.17,275959120.17
"330","LA","Private","1516",217321622,25639977.39,242961599.39
"331","LA","Proprietary","1314",93564925,53444622.38,147009547.38
"332","LA","Proprietary","1415",94380459,55473054.04,149853513.04
"333","LA","Proprietary","1516",51482439,42289407.31,93771846.31
"334","LA","Proprietary","1011",104949693,63518717.08,168468410.08
"335","LA","Proprietary","1112",105052344,55610225.8,160662569.8
"336","LA","Proprietary","1213",100062309,52313505.64,152375814.64
"337","LA","Public","1314",773214414,329841569.34,1103055983.34
"338","LA","Public","1415",790859159,330375858.74,1121235017.74
"339","LA","Public","1516",708998381,304867009.27,1013865390.27
"340","LA","Public","1011",700048869,369642095.16,1069690964.16
"341","LA","Public","1112",769193932,350317816.76,1119511748.76
"342","LA","Public","1213",768087824,331268671.79,1099356495.79
