"","School","Enrollment","Year"
"259","Tunxis Community College",2787,"2012-13"
"260","University of Bridgeport",3979,"2012-13"
"261","University of Connecticut",23517,"2012-13"
"262","University of Connecticut-Avery Point",657,"2012-13"
"263","University of Connecticut-Stamford",1140,"2012-13"
"264","University of Connecticut-Tri-Campus",2250,"2012-13"
"265","University of Hartford",6581,"2012-13"
"266","University of New Haven",6205,"2012-13"
"267","University of Phoenix-Connecticut",28,"2012-13"
"268","University of Saint Joseph",1943,"2012-13"
"269","Vinal Technical High School",57,"2012-13"
"270","W F Kaynor Technical High School",53,"2012-13"
"271","Wesleyan University",3310,"2012-13"
"272","Western Connecticut State University",5389,"2012-13"
"273","Windham Memorial Hospital-Radiologic Technology Program",20,"2012-13"
"274","Windham Technical High School",16,"2012-13"
"275","Yale University",13550,"2012-13"
"276","Yale-New Haven Hospital Dietetic Internship",12,"2012-13"
"277","Academy Di Capelli-School of Cosmetology",80,"2013-14"
"278","Ace Cosmetology and Barber Training Center",13,"2013-14"
"279","Albert I Prince Technical High School",106,"2013-14"
"280","Albertus Magnus College",1637,"2013-14"
"281","Asnuntuck Community College",1068,"2013-14"
"282","Belle Academy of Cosmetology",5,"2013-14"
"283","Branford Academy of Hair and Cosmetology",79,"2013-14"
"284","Branford Hall Career Institute-Branford Campus",537,"2013-14"
"285","Branford Hall Career Institute-Southington Campus",643,"2013-14"
"286","Branford Hall Career Institute-Windsor Campus",451,"2013-14"
"287","Bridgeport Hospital School of Nursing",155,"2013-14"
"288","Bristol Technical Education Center",46,"2013-14"
"289","Bullard-Havens Technical High School",16,"2013-14"
"290","Capital Community College",2407,"2013-14"
"291","Central Connecticut State University",9854,"2013-14"
"292","Charter Oak State College",906,"2013-14"
"293","Connecticut Center for Massage Therapy-Groton",103,"2013-14"
"294","Connecticut Center for Massage Therapy-Newington",246,"2013-14"
"295","Connecticut Center for Massage Therapy-Westport",275,"2013-14"
"296","Connecticut College",2032,"2013-14"
"297","Connecticut Institute of Hair Design",44,"2013-14"
"298","Eastern Connecticut State University",4911,"2013-14"
"299","Eli Whitney Technical High School",38,"2013-14"
"300","European Academy of Cosmetology and Hairdressing",38,"2013-14"
"301","Fairfield University",4676,"2013-14"
"302","Fox Institute of Business-West Hartford",396,"2013-14"
"303","Gateway Community College",4892,"2013-14"
"304","Goodwin College",3111,"2013-14"
"305","Hartford Seminary",79,"2013-14"
"306","Holy Apostles College and Seminary",266,"2013-14"
"307","Housatonic Community College",3379,"2013-14"
"308","Howell Cheney Technical High School",73,"2013-14"
"309","Industrial Management Training Institute",95,"2013-14"
"310","International Institute of Cosmetology",143,"2013-14"
"311","Lincoln College of New England-Southington",594,"2013-14"
